X Y Z R G B Nx Ny Nz
470 386 0.5 0 255 255 0 0 1
469 387 -0.5 0 255 255 0 0 -1
469 387 0.5 0 255 255 0 0 1
466 387 -0.5 0 255 255 0 0 -1
466 387 0.5 0 255 255 0 0 1
465 388 -0.5 0 255 255 0 0 -1
465 388 0.5 0 255 255 0 0 1
459 388 -0.5 0 255 255 0 0 -1
459 388 0.5 0 255 255 0 0 1
458 389 -0.5 0 255 255 0 0 -1
458 389 0.5 0 255 255 0 0 1
457 389 -0.5 0 255 255 0 0 -1
457 389 0.5 0 255 255 0 0 1
456 390 -0.5 0 255 255 0 0 -1
456 390 0.5 0 255 255 0 0 1
456 395 -0.5 0 255 255 0 0 -1
456 395 0.5 0 255 255 0 0 1
455 396 -0.5 0 255 255 0 0 -1
455 396 0.5 0 255 255 0 0 1
453 396 -0.5 0 255 255 0 0 -1
453 396 0.5 0 255 255 0 0 1
452 397 -0.5 0 255 255 0 0 -1
452 397 0.5 0 255 255 0 0 1
450 397 -0.5 0 255 255 0 0 -1
450 397 0.5 0 255 255 0 0 1
449 398 -0.5 0 255 255 0 0 -1
449 398 0.5 0 255 255 0 0 1
444 398 -0.5 0 255 255 0 0 -1
444 398 0.5 0 255 255 0 0 1
443 399 -0.5 0 255 255 0 0 -1
443 399 0.5 0 255 255 0 0 1
439 399 -0.5 0 255 255 0 0 -1
439 399 0.5 0 255 255 0 0 1
438 400 -0.5 0 255 255 0 0 -1
438 400 0.5 0 255 255 0 0 1
435 400 -0.5 0 255 255 0 0 -1
435 400 0.5 0 255 255 0 0 1
434 401 -0.5 0 255 255 0 0 -1
434 401 0.5 0 255 255 0 0 1
430 401 -0.5 0 255 255 0 0 -1
430 401 0.5 0 255 255 0 0 1
429 402 -0.5 0 255 255 0 0 -1
429 402 0.5 0 255 255 0 0 1
424 402 -0.5 0 255 255 0 0 -1
424 402 0.5 0 255 255 0 0 1
423 403 -0.5 0 255 255 0 0 -1
423 403 0.5 0 255 255 0 0 1
417 403 -0.5 0 255 255 0 0 -1
417 403 0.5 0 255 255 0 0 1
416 404 -0.5 0 255 255 0 0 -1
416 404 0.5 0 255 255 0 0 1
412 404 -0.5 0 255 255 0 0 -1
412 404 0.5 0 255 255 0 0 1
411 405 -0.5 0 255 255 0 0 -1
411 405 0.5 0 255 255 0 0 1
395 405 -0.5 0 255 255 0 0 -1
395 405 0.5 0 255 255 0 0 1
394 404 -0.5 0 255 255 0 0 -1
394 404 0.5 0 255 255 0 0 1
385 404 -0.5 0 255 255 0 0 -1
385 404 0.5 0 255 255 0 0 1
384 403 -0.5 0 255 255 0 0 -1
384 403 0.5 0 255 255 0 0 1
376 403 -0.5 0 255 255 0 0 -1
376 403 0.5 0 255 255 0 0 1
375 402 -0.5 0 255 255 0 0 -1
375 402 0.5 0 255 255 0 0 1
366 402 -0.5 0 255 255 0 0 -1
366 402 0.5 0 255 255 0 0 1
365 401 -0.5 0 255 255 0 0 -1
365 401 0.5 0 255 255 0 0 1
361 401 -0.5 0 255 255 0 0 -1
361 401 0.5 0 255 255 0 0 1
360 400 -0.5 0 255 255 0 0 -1
360 400 0.5 0 255 255 0 0 1
354 400 -0.5 0 255 255 0 0 -1
354 400 0.5 0 255 255 0 0 1
353 399 -0.5 0 255 255 0 0 -1
353 399 0.5 0 255 255 0 0 1
346 399 -0.5 0 255 255 0 0 -1
346 399 0.5 0 255 255 0 0 1
345 398 -0.5 0 255 255 0 0 -1
345 398 0.5 0 255 255 0 0 1
341 398 -0.5 0 255 255 0 0 -1
341 398 0.5 0 255 255 0 0 1
340 397 -0.5 0 255 255 0 0 -1
340 397 0.5 0 255 255 0 0 1
333 397 -0.5 0 255 255 0 0 -1
333 397 0.5 0 255 255 0 0 1
332 396 -0.5 0 255 255 0 0 -1
332 396 0.5 0 255 255 0 0 1
325 396 -0.5 0 255 255 0 0 -1
325 396 0.5 0 255 255 0 0 1
324 395 -0.5 0 255 255 0 0 -1
324 395 0.5 0 255 255 0 0 1
318 395 -0.5 0 255 255 0 0 -1
318 395 0.5 0 255 255 0 0 1
317 394 -0.5 0 255 255 0 0 -1
317 394 0.5 0 255 255 0 0 1
314 394 -0.5 0 255 255 0 0 -1
314 394 0.5 0 255 255 0 0 1
313 393 -0.5 0 255 255 0 0 -1
313 393 0.5 0 255 255 0 0 1
307 393 -0.5 0 255 255 0 0 -1
307 393 0.5 0 255 255 0 0 1
306 392 -0.5 0 255 255 0 0 -1
306 392 0.5 0 255 255 0 0 1
300 392 -0.5 0 255 255 0 0 -1
300 392 0.5 0 255 255 0 0 1
299 391 -0.5 0 255 255 0 0 -1
299 391 0.5 0 255 255 0 0 1
293 391 -0.5 0 255 255 0 0 -1
293 391 0.5 0 255 255 0 0 1
292 390 -0.5 0 255 255 0 0 -1
292 390 0.5 0 255 255 0 0 1
288 390 -0.5 0 255 255 0 0 -1
288 390 0.5 0 255 255 0 0 1
287 389 -0.5 0 255 255 0 0 -1
287 389 0.5 0 255 255 0 0 1
276 389 -0.5 0 255 255 0 0 -1
276 389 0.5 0 255 255 0 0 1
275 388 -0.5 0 255 255 0 0 -1
275 388 0.5 0 255 255 0 0 1
268 388 -0.5 0 255 255 0 0 -1
268 388 0.5 0 255 255 0 0 1
267 387 -0.5 0 255 255 0 0 -1
267 387 0.5 0 255 255 0 0 1
259 387 -0.5 0 255 255 0 0 -1
259 387 0.5 0 255 255 0 0 1
258 386 -0.5 0 255 255 0 0 -1
258 386 0.5 0 255 255 0 0 1
257 386 -0.5 0 255 255 0 0 -1
257 386 0.5 0 255 255 0 0 1
256 385 -0.5 0 255 255 0 0 -1
256 385 0.5 0 255 255 0 0 1
253 385 -0.5 0 255 255 0 0 -1
